"日期","車號","里程","細項","實收金額","備註","","","","","","","","","","","","","","","","","","","",""
"2020/9/4","MPB-9572","","惡搞把藍鈦17500,Magazi後視鏡1800，舒適握把套1390，左右開關，3700，傑能拉桿+螺絲2240，手機架1000","27630","","","","","","","","","","","","","","","","","","","","",""
"2020/9/5","EMW-7315","","Anchorc後卡cnc(換陶瓷板煞車皮)4600，ZOO後卡座2500，NCY226mm碟盤2500，Frando前金屬燒結1400，鈦螺絲1020","12020","","","","","","","","","","","","","","","","","","","","",""
"2020/9/6","EMP-8390","","ZOO後齒盤墊片500，ZOO後套管950，後輪心1000","2450","","","","","","","","","","","","","","","","","","","","",""
"2020/9/9","EPF-7999","","","11300","","","","","","","","","","","","","","","","","","","","",""
"2020/9/9","EMG-2527","","五爪手機架950","950","","","","","","","","","","","","","","","","","","","","",""
"2020/9/15","EPF-6855","","ZOO後齒盤3000","3000","","","","","","","","","","","","","","","","","","","","",""
"2020/9/15","","","煞車油500","500","","","","","","","","","","","","","","","","","","","","",""
"2020/9/16","EPF-6855","","齒盤座4250，後輪外內套管1350，SKF培林850","6450","","","","","","","","","","","","","","","","","","","","",""
"2020/9/16","","","金屬油管4500","4500","","","","","","","","","","","","","","","","","","","","",""
"2020/9/21","EME-8066","","EK黑金練3500，齒盤墊片500","4000","","","","","","","","","","","","","","","","","","","","",""
"2020/9/23","","","水行俠後2250","2250","","","","","","","","","","","","","","","","","","","","",""
"2020/9/23","EMY-0287","","RR後避震4000，螺絲260","4260","","","","","","","","","","","","","","","","","","","","",""
"2020/9/28","","","ZOO齒盤3500，齒盤座3980，BPM碟盤2700，FRANDO前煞車1300，前輪套管650，前輪心500","12630","","","","","","","","","","","","","","","","","","","","",""
"2020/9/29","ENP-1817","","X2後避震23800，後輪心1250","25050","","","","","","","","","","","","","","","","","","","","",""
"2020/9/30","ENP-8071","","黑準手機架1499","1499","","","","","","","","","","","","","","","","","","","","",""
"2020/10/3","ENP-1817","","ZOO翹排4000，大牌背板1200，螺絲420，襯板150","5770","","","","","","","","","","","","","","","","","","","","",""
"2020/10/3","MKE-7716","","CMSR前2300，RK前齒650","2950","","","","","","","","","","","","","","","","","","","","",""
"2020/10/3","ENP-1085","","BPM浮動碟2700，BPM前煞車皮800，FRANDO後煞車皮700","4200","","","","","","","","","","","","","","","","","","","","",""
"2020/10/6","MKE-7716","","主腳架1700，握把套500","2200","","","","","","","","","","","","","","","","","","","","",""
"2020/10/6","","","手機架1200","1200","","","","","","","","","","","","","","","","","","","","",""
"2020/10/7","EMY-0287","","牛角後靠背2480","2480","","","","","","","","","","","","","","","","","","","","",""
"2020/10/8","","","水行俠前2150後2250，BPM後煞車皮750，白鐵螺絲360","5510","","","","","","","","","","","","","","","","","","","","",""
"2020/10/9","EMY-2253","","1","2850","","","","","","","","","","","","","","","","","","","","",""
"2020/10/10","EMF-1859","","Frando® 1000，齒盤墊片 500","1500","","","","","","","","","","","","","","","","","","","","",""
"2020/10/10","EMD-7958","","Frando(F) 1000，","1000","","","","","","","","","","","","","","","","","","","","",""
"2020/10/14","","32234","滾真2800","2800","","","","","","","","","","","","","","","","","","","","",""
